,lang,rank,result,type
16,german,0,"['nachweisbarem', 'nachweisbatem', 'ntem', 'pachweisbarem', 'prem', 'natem', 'nactem', 'nachweisbtem', 'nachweistem', 'nachweitem']",base
17,german,0,"['extrudiertest', 'extrudierteextrudit', 'extrudierteet', 'extrudierteextrudiet', 'serteextrudit', 'sxtrudierteet', 'extrudierteext', 'extrudierteextt', 'extrudierteextrt', 'extrudierteextrut']",base
18,german,0,"['sonderbarere', 'sonderbareonderbare', 'sreonderbare', 'sonderbarenderbare', 'sonderbareare', 'sonderbarederbare', 'sonderbarebare', 'sonderbarerbare', 'sonderbareerbare', 'sonderbärere']",base
19,german,0,"['schießet', 'schießeß', 'schießechieß', 'schieteß', 'stechieß', 'schießehieß', 'schießeeß', 'schießeieß', 'schietet', 'dchießet']",base
20,german,0,"['überhitzte', 'überhitzhe', 'ühe', 'wberhitzte', 'wte', 'übhe', 'überhe', 'übehe', 'überhithe', 'überhihe']",base
21,german,0,"['muskulösem', 'muskulötem', 'mtem', 'buskulösem', 'bsem', 'mutem', 'mustem', 'muskultem', 'muskutem', 'musktem']",base
22,german,0,"['schmiedeeiserner', 'schmiedeeiserder', 'sder', 'kchmiedeeiserner', 'kner', 'scder', 'schmiedeeiseder', 'schmiedeeisder', 'schmiedeeider', 'schmiedeeder']",base
23,german,0,"['frappiertet', 'ftrappieret', 'frappieztet', 'fztet', 'ftet', 'vertet', 'frtappieret', 'vrappiertet', 'fratppieret', 'frappietret']",base
24,german,0,"['lutscht', 'lutsczt', 'lzt', 'lt', 'butscht', 'bht', 'lutzt', 'lut', 'luzt', 'lutst']",base
25,german,0,"['umgangssprachlicher', 'umgangssprachlicger', 'uger', 'lmgangssprachlicher', 'lher', 'umgangssprachliger', 'langssprachlicher', 'umger', 'umgangsspracger', 'umgangssprachlger']",base
26,german,0,"['passest', 'pasrest', 'bassest', 'prest', 'pest', 'pst', 'bsest', 'best', 'past', 'paest']",base
27,german,0,"['ausnahmlosen', 'ausnahmloten', 'aten', 'kosen', 'kusnahmlosen', 'ksen', 'auten', 'ausnahmlten', 'ausnahmten', 'ausnahten']",base
28,german,0,"['aufmüpfigere', 'aufmüpfitere', 'atere', 'uufmüpfigere', 'ugere', 'autere', 'aufmüpftere', 'aufmüptere', 'aufmütere', 'aufmtere']",base
29,german,0,"['unerschlossener', 'unerschlossäner', 'mnerschlossener', 'uäner', 'uner', 'mener', 'mner', 'mossener', 'unner', 'unäner']",base
30,german,0,"['vorgeheizter', 'vorgeheizger', 'vger', 'borgeheizter', 'bter', 'vorgeheiger', 'voger', 'vorgehger', 'vorgeheger', 'beizter']",base
31,german,0,"['zugegebenen', 'zunegebenen', 'zugebenegebenen', 'zugebenegen', 'zunegebegen', 'zuninen', 'zugebenigebenen', 'zuenegebenen', 'zubenegebenen', 'zuebenegebenen']",base
32,german,0,"['kölschen', 'kölschek', 'kölscheköl', 'kölscheköls', 'kölschekölsc', 'kölschekö', 'nölschek', 'nscheköl', 'ncheköls', 'nhekölsc']",base
33,german,0,"['störrischer', 'störriscter', 'ster', 'btörrischer', 'bher', 'störrter', 'störter', 'stter', 'störrister', 'störriter']",base
34,german,0,"['nasche', 'nascze', 'gasche', 'nze', 'ne', 'n', 'ghe', 'ge', 'na', 'nae']",base
35,german,99999999,"['Waageen', 'Waaglen', 'Wlen', 'Kaageen', 'Keen', 'Walen', 'Waalen', 'Kgeen', 'Kageen', 'Waagean']",base
36,german,0,"['einsprachiger', 'einsprachiter', 'eter', 'binsprachiger', 'bger', 'einsprter', 'eiter', 'einspracter', 'einsprachter', 'einsprater']",base
37,german,0,"['hochreiner', 'hochreiher', 'hher', 'uochreiner', 'uner', 'hocher', 'hoher', 'hochreher', 'ureiner', 'hochrher']",base
38,german,0,"['steigest', 'steirest', 'hteigest', 'srest', 'sest', 'sst', 'hgest', 'hest', 'stest', 'sterest']",base
39,german,0,"['herzhaftere', 'herzhafhere', 'hhere', 'ferzhaftere', 'ftere', 'hehere', 'faftere', 'herhere', 'herzhahere', 'herzhhere']",base
40,german,0,"['etioliere', 'etioliertiolie', 'etiolierolie', 'eertiolie', 'etiolieriolie', 'etiolierie', 'etiolierlie', 'ptioliere', 'pre', 'etiogiere']",base
41,german,99999999,"['kräiße', 'kräige', 'krärße', 'kreäßi', 'käßrei', 'käeißr', 'krärge', 'kbäiße', 'käeiße', 'kreäße']",base
42,german,0,"['feigsten', 'feiesten', 'fgiesten', 'fgigsten', 'zeigsten', 'figsten', 'fgsten', 'zigsten', 'zgsten', 'fegsten']",base
43,german,0,"['sächlichen', 'sären', 'sächlicren', 'sren', 'vächlichen', 'vhen', 'vichen', 'sächliren', 'sächlren', 'sächren']",base
44,german,0,"['zeitherigen', 'zeitherihen', 'zhen', 'äeitherigen', 'ägen', 'zehen', 'ärigen', 'zeithen', 'zeitherhen', 'zeithehen']",base
45,german,0,"['profitabelster', 'profitabehster', 'phster', 'kelster', 'krofitabelster', 'klster', 'prhster', 'profitabhster', 'profitahster', 'profithster']",base
46,german,0,"['anzeigender', 'anzeigenler', 'inzeigender', 'aler', 'inder', 'ider', 'anler', 'anzler', 'anzeiler', 'anzeigeler']",base
47,german,0,"['subversiveres', 'subversigeres', 'sgeres', 'mubversiveres', 'mveres', 'sugeres', 'subversgeres', 'subvergeres', 'subvegeres', 'subvgeres']",base
48,german,0,"['Auskunft', 'Auskunfr', 'Ar', 'Muskunft', 'Mt', 'Aur', 'Auskunr', 'Auskur', 'Auskr', 'Ausr']",base
49,german,0,"['sarkastische', 'uarkastische', 'sarkastiiche', 'siche', 'sche', 'she', 'usche', 'uche', 'uhe', 'sarkastiche']",base
50,german,0,"['vernachlässigbarem', 'vernachlässigbahem', 'vhem', 'fernachlässigbarem', 'frem', 'vernachem', 'vehem', 'vernachlässihem', 'vernachlässhem', 'vernachläshem']",positive
51,german,0,"['färöischem', 'färöiscrem', 'frem', 'väröischem', 'vhem', 'färem', 'färrem', 'färöisrem', 'färöirem', 'färörem']",positive
52,german,99999999,"['färemöisch', 'färöisch', 'fämöisch', 'fäemöisch', 'fäaremöisch', 'färemöisc', 'fäbaremöisch', 'färemöish', 'färöisc', 'färöish']",positive
53,german,99999999,"['färöischem', 'färöischr', 'färöischer', 'färöischar', 'fäaöischr', 'färöischear', 'färöischam', 'färöischbar', 'fäaöischem', 'färöischebar']",positive
54,german,0,"['färöisch', 'färöiscr', 'fr', 'f', 'väröisch', 'vh', 'fär', 'fä', 'färr', 'färöisc']",positive
55,german,0,"['vernachlässigbar', 'v', 'vernachlässigbah', 'vh', 'fernachlässigbar', 'fr', 'vernach', 've', 'veh', 'vernachlässih']",positive
56,german,99999999,"['vernaclässigbarh', 'vernachlässigbarem', 'vernaclässigbarem', 'vernachlässigbarh', 'vernachlässigbareh', 'vernachläscscigbarem', 'vernachlässigbarch', 'vernacclässigbarh', 'vcrnachlässigbarch', 'vernachläscsigbarem']",positive
57,german,99999999,"['vernachemlässigbar', 'vernachlässigbar', 'vernamläschescheigbar', 'vernachehlässigbar', 'vernaemläschschigbar', 'vernacmlässigbar', 'vernahemläscscigbar', 'vernamläschesigbar', 'vernamlässcheigbar', 'vernachhlässigbar']",positive
58,german,99999999,"['Nachmittöge', 'Nöge', 'Nöchmittage', 'Nöpfe', 'Nachmittaöpfe', 'Nachmitöge', 'Nachmitöage', 'Nachmiöge', 'Nachmiötage', 'Nachmöge']",positive
59,german,99999999,"['Schwachkopfe', 'Schwachkopge', 'Sge', 'Nchwachkopfe', 'Nfe', 'Schwage', 'Nachkopfe', 'Scge', 'Schwachkge', 'Schwachge']",positive
60,german,99999999,"['Schwachkopf', 'Schwagchkopf', 'Shwachkopf', 'Scwackopf', 'Shwahkopf', 'Schwgchkopf', 'Scchwachkopf', 'Scchwahkopf', 'Shwacchkopf', 'Schwahkopf']",positive
61,german,99999999,"['Schwachköpfe', 'Schwachköpfg', 'Shwachköpfe', 'Scwacköpfe', 'Shwahköpfe', 'Schwachköpfag', 'Scchwachköpfe', 'Scchwahköpfe', 'Shwacchköpfe', 'Schwachköpftag']",positive
62,german,99999999,"['Schwachköpf', 'Schwachköpg', 'Sg', 'S', 'Nchwachköpf', 'Nf', 'Schwag', 'Nachköpf', 'Sc', 'Scg']",positive
63,german,99999999,"['Nachmittog', 'Nog', 'Nochmittag', 'Nopf', 'Nachmittaopf', 'Nachmitog', 'Nachmitoag', 'Nachmiog', 'Nachmiotag', 'Nachmog']",positive
64,german,99999999,"['Nachmittage', 'Nachmittagf', 'Nachmittagpf', 'Nachmittagopf', 'Nachkopmittage', 'Nachmittagkopf', 'Nachkmittage', 'Nachkomittage', 'Nacmittage', 'Namittage']",positive
65,german,99999999,"['Nachmittag', 'Nachköpfmittag', 'Nachkmittag', 'Nachköpmittag', 'Nacmittag', 'Namittag', 'Nachkömittag', 'Nachmittacg', 'Nachköpfhmittag', 'Nachkhmittag']",positive
66,german,99999999,"['Numorvolles', 'Nles', 'Nlles', 'Nolles', 'Nmorvolles', 'Norvolles', 'Nrvolles', 'Nvolles', 'Nales', 'Naumorvolles']",positive
67,german,99999999,"['nanoelektronisches', 'nanoeektronischektronisches', 'nanoelektroniscles', 'nles', 'hanoelektronisches', 'nanoeektronischles', 'hhes', 'nanoelles', 'nales', 'nanoelektronles']",positive
68,german,99999999,"['nanoelesektronisch', 'nanoelektronisch', 'nanoleesektrolnisch', 'nanoelleektronisch', 'nanolelektrolnisch', 'nanoesektronisch', 'nanoleesektronisch', 'nanoeesektrolnisch', 'nanoellektronisch', 'nanoeesektronisch']",positive
69,german,99999999,"['Nanoelektronisches', 'Nanoelektronischl', 'Nanoelektronilchel', 'Nanoelektronilches', 'Nanoelektronischel', 'Nanolllktronilchll', 'Nanolllktronilchls', 'Nanolllktronischll', 'Nanoelktronilchel', 'Nanolelektrolnisches']",positive
70,german,99999999,"['Nanoelektronisch', 'Nanoeektronischektronisch', 'Nanoelektroniscl', 'Nl', 'N', 'hanoelektronisch', 'Nanoeektronischl', 'hh', 'Nanoel', 'Nanoell']",positive
71,german,99999999,"['numorvoll', 'nl', 'nll', 'noll', 'nmorvoll', 'norvoll', 'nrvoll', 'nvoll', 'nal', 'naumorvoll']",positive
72,german,99999999,"['humorvolles', 'humorvollh', 'humorvolleh', 'humorvollch', 'humorvollesc', 'humorvollech', 'humorvollsch', 'humorvollesch', 'humanorvanolles', 'humanorvolles']",positive
73,german,99999999,"['hesumorvoll', 'humorvoll', 'sumorvoll', 'esumorvoll', 'chesumorvoll', 'hesumanorvanoll', 'schesumorvoll', 'humanorvanoll', 'hesumanorvoll', 'hesumorvanoll']",positive
74,german,0,"['wackeligsten', 'rackeligsten', 'wackedigsten', 'wdigsten', 'wigsten', 'wgsten', 'religsten', 'rligsten', 'rigsten', 'rgsten']",positive
75,german,0,"['reaktionsfreudigsten', 'weaktionsfreudigsten', 'religsten', 'reaktionsfreuligsten', 'rligsten', 'rigsten', 'rgsten', 'wdigsten', 'wigsten', 'wgsten']",positive
76,german,0,"['reaktionsfreudigsten', 'reaktionsfreudig', 'reaktigsteonsfreudigsten', 'reaktigsteonsfreudigsteg', 'reaktigsteonsfreudin', 'reaktigstonsfreudigsten', 'reaktigsonsfreudigsten', 'reaktigonsfreudigsten', 'reaktigsteonsfreudig', 'reaktionsfreudigsteg']",positive
77,german,0,"['reaktionsfreudig', 'reaktiogsfreudig', 'reaktiogsfreudin', 'reaktionsfreudin', 'reaktionsfreudg', 'reaktionsfreudien', 'relaktionsfreludg', 'reaktionsfreudigg', 'relaktionsfreudg', 'reaktionsfreludg']",positive
78,german,0,"['reaktionsfreudig', 'weaktionsfreudig', 'relig', 'reaktionsfreulig', 'rlig', 'rig', 'rg', 'r', 'wdig', 'wig']",positive
79,german,0,"['wackelig', 'rackelig', 'wackedig', 'wdig', 'wig', 'wg', 'w', 'relig', 'rlig', 'rig']",positive
80,german,0,"['wackelig', 'wackelin', 'wackelg', 'wackelien', 'wackeligg', 'wackeliig', 'wackeldig', 'wackeliten', 'wackeligsg', 'wackeligsten']",positive
81,german,0,"['wackeligsten', 'wackelig', 'wackeligsteg', 'wackelin', 'wackeligstg', 'wackeligsg', 'wackeligg', 'wackelien', 'wackeliten', 'wackelisten']",positive
82,german,0,"['erkennen', 'srkennen', 'erkengen', 'egen', 'een', 'en', 'snen', 'sen', 'sn', 'erken']",positive
83,german,0,"['staubsaugen', 'staubsaugsn', 'staubsaugstaubsaun', 'staubsaugeg', 'staubsaugetaubsaug', 'staubsaugstaubsan', 'etaubsaugsn', 'staubsauneg', 'staubsaugstn', 'staubsaugstan']",positive
84,german,0,"['staubsaugen', 'staubsauge', 'staubsaugn', 'staubsaugenn', 'staubsaugnen', 'staubsaugern', 'staubsaugeen', 'staubsaugene', 'staubsaugken', 'staubsaugenne']",positive
85,german,0,"['staubsaugen', 'staubsauge', 'staubsaugn', 'staubsaugenn', 'staubsaugnen', 'staubsaugern', 'staubsaugeen', 'staubsaugene', 'staubsaugken', 'staubsaugenne']",positive
86,german,0,"['staubsaugen', 'staubsaugsn', 'staubsaugstaubsaun', 'staubsaugeg', 'staubsaugetaubsaug', 'staubsaugstaubsan', 'etaubsaugsn', 'staubsauneg', 'staubsaugstn', 'staubsaugstan']",positive
87,german,0,"['erkennen', 'srkennen', 'erkengen', 'egen', 'een', 'en', 'snen', 'sen', 'sn', 'erken']",positive
88,german,0,"['erkennen', 'erknnn', 'erknnen', 'erkennn', 'erkgenngen', 'gerkgenngen', 'erkeeneneen', 'gerkgennen', 'gerkenngen', 'erkeenenen']",positive
89,german,0,"['erkennen', 'erknnn', 'erknnen', 'erkennn', 'erkgenngen', 'gerkgenngen', 'erkeeneneen', 'gerkgennen', 'gerkenngen', 'erkeenenen']",positive
90,german,0,"['einfältigstes', 'einfältinstes', 'enstes', 'ginfältigstes', 'ggstes', 'einstes', 'einfältnstes', 'einfälnstes', 'einfänstes', 'einfnstes']",positive
91,german,0,"['gewundenstes', 'gewundenstgs', 'gewundenstgewundes', 'gewundenstgewunds', 'gewundenstgews', 'eewundenstgs', 'gewundenstges', 'gewundenstgewus', 'gewundenstgewuns', 'enstgewundes']",positive
92,german,99999999,"['gstesewunden', 'gewunden', 'sewunden', 'esewunden', 'tesewunden', 'stesewunden', 'igstesewunden', 'tigstesewunden', 'gsteseiwundein', 'gstesewunfdenf']",positive
93,german,99999999,"['gewundeng', 'gewundensg', 'gewundenstes', 'gewundenig', 'iewundeng', 'gewundenstg', 'gewundengteg', 'gewundengtes', 'gewundensteg', 'gewundensig']",positive
94,german,0,"['gewunden', 'gewundeg', 'gg', 'g', 'eewunden', 'en', 'ge', 'geg', 'gewundg', 'gewung']",positive
95,german,0,"['einfältig', 'einfältin', 'en', 'e', 'ginfältig', 'gg', 'ein', 'ei', 'einfältn', 'einfäln']",positive
96,german,99999999,"['einfältign', 'einfältigsn', 'einfältigstes', 'einfältigen', 'eiefältign', 'einfältignten', 'einfältigstn', 'einfältigsten', 'einfältigntes', 'einfältigden']",positive
97,german,99999999,"['einstesfältig', 'einfältig', 'ensteisfältig', 'eisfältig', 'ensteinfältig', 'enstiesfältig', 'ensitesfältig', 'enistesfältig', 'enstinfältig', 'ensinfältig']",positive
98,german,99999999,"['aristokratischestes', 'aristokratischeatea', 'aristokratischearistokratisctearistokratisc', 'aristokratischearistokratistearistokratis', 'aristokratischeates', 'aristokratischestea', 'sristokratischeatea', 'aristokratischeartear', 'aristokratischeariteari', 'aristokratischearistearis']",positive
99,german,99999999,"['spätstes', 'spähstes', 'shstes', 'apätstes', 'atstes', 'sphstes', 'aätstes', 'spätäteä', 'spätpätepä', 'spätptep']",positive
100,german,99999999,"['spät', 'schstepät', 'schstpät', 'scpät', 'schpät', 'schspät', 'epät', 'spätischste', 'späti', 'spätisc']",positive
101,german,99999999,"['spähh', 'späteh', 'spächch', 'cpähh', 'späthth', 'spätestes', 'spähtes', 'spätesh', 'späschsch', 'spätech']",positive
102,german,9,"['späte', 'späth', 'sh', 's', 'apäte', 'ae', 'sp', 'sph', 'späh', 'spät']",positive
103,german,99999999,"['aristokratisc', 'a', 'aristokrat', 'arist', 'ar', 'aristokratis', 'aristokrati', 'aristokra', 'aristokr', 'aristok']",positive
104,german,99999999,"['aristokratischt', 'aristokratischstes', 'aristokratischst', 'arittokratitchttet', 'aristokratischät', 'ariäokratischät', 'arittokratitchttes', 'arittokratitchstet', 'arittokratischttet', 'aristokratitchttet']",positive
105,german,99999999,"['aristestesokratestesisch', 'aristestesokratisch', 'aristokratestesisch', 'aristokratisch', 'arissokrasisch', 'arissokratisch', 'aristokrasisch', 'arisesokraesisch', 'aristesokratesisch', 'arisstesokrastesisch']",positive
106,german,0,"['erlangte', 'ertlange', 'etrlange', 'erte', 'erlanrte', 'ete', 'irlangte', 'erlantge', 'erlatnge', 'erltange']",positive
107,german,0,"['immunisierte', 'immunisierti', 'immunisiertimmunisie', 'immunisiertimmunisi', 'emmunisierti', 'immunisiertimm', 'immunisiertim', 'immunisiertimmu', 'immunisiertimmun', 'immunisiertimmuni']",positive
108,german,5,"['immueisitrte', 'immueisitrtn', 'immunisitrte', 'immueisierte', 'immueisitree', 'immunisierte', 'immunisitrtn', 'immueisiertn', 'immueisitren', 'immunisitree']",positive
109,german,1,"['immunisinren', 'immunisieren', 'immunisinree', 'immunisinrtn', 'immunisieree', 'immunisiertn', 'immunisinrte', 'immunisierte', 'immunisiern', 'immunisienrten']",positive
110,german,0,"['immunisieren', 'immunisierin', 'immunisierimmunisien', 'immunisierimmunisin', 'emmunisierin', 'immunisierimmn', 'immunisierimn', 'immunisierimmun', 'immunisierimmunn', 'immunisierimmunin']",positive
111,german,0,"['erlangen', 'eren', 'erlanren', 'een', 'irlangen', 'igen', 'erren', 'erlanen', 'erlaen', 'erlaren']",positive
112,german,1,"['nrlangen', 'erlangen', 'nrlangee', 'nrlangtn', 'erlangee', 'erlangtn', 'nrlangte', 'erlangte', 'erelangn', 'elangren']",positive
113,german,5,"['trlaegte', 'trlaegtn', 'trlangte', 'erlaegte', 'trlaegee', 'erlangte', 'trlangtn', 'erlaegtn', 'trlaegen', 'trlangee']",positive
114,german,0,"['Ansprache', 'Ang', 'Ansprachg', 'Ag', 'Vnsprache', 'Ve', 'Anspracg', 'Ansprag', 'Ansprg', 'Anspg']",positive
115,german,0,"['Voraussagung', 'Voraussagune', 'Ve', 'Ang', 'Aoraussagung', 'Ag', 'Voe', 'Voraussague', 'Voraussage', 'Voraussae']",positive
116,german,0,"['Voraussagung', 'Vorussagung', 'Voaussagung', 'Voracussacgung', 'Vorauspspagung', 'Vorraussragung', 'Voraunsnsagung', 'Voracussagung', 'Voraussacgung', 'Voraaussagung']",positive
117,german,0,"['Voraussagung', 'Vorussagung', 'Voaussagung', 'Voracussacgung', 'Vorauspspagung', 'Vorraussragung', 'Voraunsnsagung', 'Voracussagung', 'Voraussacgung', 'Voraaussagung']",positive
118,german,0,"['Voraussagung', 'Voraussagune', 'Ve', 'Ang', 'Aoraussagung', 'Ag', 'Voe', 'Voraussague', 'Voraussage', 'Voraussae']",positive
119,german,0,"['Ansprache', 'Ang', 'Ansprachg', 'Ag', 'Vnsprache', 'Ve', 'Anspracg', 'Ansprag', 'Ansprg', 'Anspg']",positive
120,german,0,"['Ansprache', 'Ansprche', 'Anspache', 'Anssprache', 'Ansprauche', 'Anspragche', 'Anspraache', 'Ansaprache', 'Ansprsache', 'Ansporache']",positive
121,german,0,"['Ansprache', 'Ansprche', 'Anspache', 'Anssprache', 'Ansprauche', 'Anspragche', 'Anspraache', 'Ansaprache', 'Ansprsache', 'Ansporache']",positive
122,german,0,"['langjährigeres', 'langjährigerel', 'langjährigerelangjähri', 'langjährigerelangjähr', 'langjährigerelangjäh', 'sangjährigerel', 'langjährigerela', 'langjährigerelan', 'langjährigerelang', 'langjährigerelangj']",positive
123,german,0,"['selektiveres', 'selektigeres', 'sgeres', 'lelektiveres', 'lveres', 'segeres', 'selektgeres', 'selekgeres', 'selegeres', 'selgeres']",positive
124,german,99999999,"['selektiv', 'selektigerev', 'selektigerv', 'selektigev', 'selektigv', 'selektev', 'selektrv', 'selektgv', 'selektrev', 'selekterev']",positive
125,german,99999999,"['selektivg', 'selektiveg', 'selektiveres', 'selektivig', 'siliktivig', 'selektiverg', 'gelektivereg', 'siliktiveg', 'silektivig', 'seliktivig']",positive
126,german,0,"['selektiv', 'selektig', 's', 'sg', 'lelektiv', 'lv', 'sel', 'se', 'seg', 'selektg']",positive
127,german,0,"['langjährig', 'langjähriv', 'lv', 'l', 'sangjährig', 'sg', 'la', 'lav', 'langjährv', 'langjähv']",positive
128,german,99999999,"['langjährigv', 'langjährigev', 'langjährigeres', 'langjährigiv', 'langjährigerv', 'langjährigerev', 'langjährigeiv', 'langjährigtiv', 'langjährigis', 'langjähiigeiv']",positive
129,german,99999999,"['langjährig', 'langjährivereg', 'langjähriverg', 'langjähriveg', 'langjährivg', 'langjähreg', 'langjährreg', 'langjährrg', 'langjährereg', 'langjährvereg']",positive
130,german,0,"['malerischerer', 'maleriscderer', 'mderer', 'galerischerer', 'gherer', 'malerischcrcr', 'malerischaleriscraleriscr', 'malerischarar', 'maderer', 'gerischerer']",positive
131,german,0,"['gewinnbringenderer', 'gewinnbringendnn', 'gewinnbringendee', 'gewinnbringendewinnbringenewinnbringen', 'gewinnbringendewew', 'gewinnbringendewinnbrewinnbr', 'gewinnbringendii', 'gewinnbringendrr', 'gewinnbringendww', 'gewinnbringendenen']",positive
132,german,99999999,"['gewinnbringend', 'gerwinnbingernd', 'gewischerennbrischerengend', 'gerwinnbingend', 'gewinnbingernd', 'gewischernnbrischerngend', 'gewinnbrischerengend', 'gewisnnbrisngend', 'gewiscnnbriscngend', 'gewischnnbrischngend']",positive
133,german,99999999,"['gewinnbringendh', 'gewinnbringendhh', 'gewinnbringenderer', 'gewinnbringendeh', 'gewinnbringendch', 'gewinnbhingendeheh', 'gcwinnbringcndch', 'gewinnbringenderh', 'gewinnbringendher', 'gewinnbhingendeher']",positive
134,german,0,"['gewinnbringend', 'g', 'gewinnbringenh', 'gh', 'mewinnbringend', 'md', 'gewinnbring', 'ge', 'geh', 'gewinnbringeh']",positive
135,german,0,"['malerisch', 'maleriscd', 'md', 'm', 'galerisch', 'gh', 'mal', 'ma', 'mad', 'gerisch']",positive
136,german,99999999,"['maldischdd', 'malerischd', 'malerischdd', 'maldischder', 'maldischerd', 'malndischndnd', 'malerischerer', 'malerisched', 'malerischnd', 'malnischnn']",positive
137,german,99999999,"['malerisch', 'malendererisch', 'malenderrisch', 'malenrisch', 'malendrisch', 'malenderisch', 'malersch', 'maleisch', 'malerinsch', 'maleringesch']",positive
138,german,0,"['silberglänzende', 'sige', 'silberglänzenge', 'milberglänzende', 'sge', 'mde', 'silge', 'silberglänzege', 'silberglänzge', 'silberglänge']",positive
139,german,0,"['mittige', 'mittide', 'sittige', 'mde', 'sige', 'sge', 'mide', 'mitde', 'mittde', 'sttige']",positive
140,german,99999999,"['mittig', 'milttilg', 'mittigl', 'milttig', 'mittilg', 'mittirg', 'milbttilbg', 'mittiglä', 'milbttig', 'mittilbg']",positive
141,german,99999999,"['mittige', 'mittigd', 'mittigen', 'mittignd', 'mittigend', 'milttilge', 'mittign', 'mittigzend', 'mittigle', 'mittiger']",positive
142,german,0,"['mittig', 'mittid', 'sittig', 'md', 'm', 'sig', 'sg', 'mi', 'mid', 'mitd']",positive
143,german,0,"['silberglänzend', 'sig', 'silberglänzeng', 'milberglänzend', 'sg', 's', 'md', 'silberg', 'sil', 'si']",positive
144,german,99999999,"['silberglänzende', 'silbgrglänzgndg', 'silbgrglänzgnde', 'silbgrglänzendg', 'silberglänzgndg', 'silbgrglänzende', 'silberglänzgnde', 'silberglänzendg', 'silbigrglänzigndig', 'silbgrilänzgndg']",positive
145,german,99999999,"['silbergelänzend', 'silberglänzend', 'siglberelänzend', 'siglberglänzend', 'silberelänzend', 'silberigelänzend', 'sglberelänzend', 'sglberglänzend', 'silbertigelänzend', 'sitlberglänzend']",positive
146,german,0,"['schokoladiger', 'schokoladiser', 'schokoladischokolaer', 'schokoladischokolader', 'schokoladischokoer', 'schokoladischokoler', 'gchokoladiser', 'schokoladiscer', 'schokoladischer', 'schokoladischoer']",positive
147,german,0,"['gleichfarbiger', 'sleichfarbiger', 'gleichfardiger', 'gdiger', 'giger', 'gger', 'sbiger', 'siger', 'sger', 'schfarbiger']",positive
148,german,1,"['gerleichfarbiger', 'gleichfarbiger', 'gerleichfarbig', 'rleigechfarbiger', 'gleichfarbig', 'rleigechfarbigeg', 'gleigechfarbiger', 'rleigechfarbir', 'rleichfarbiger', 'erleigchfarbiger']",positive
